Bairro;Populacao
AEROLANDIA;11.360
AEROPORTO;8.618
ALDEOTA;42.361
ALTO DA BALANCA;12.814
ALVARO WEYNE;23.690
AMADEU FURTADO;11.703
ANCURI;20.070
ANTONIO BEZERRA;25.846
MOURA BRASIL;3.765
AUTRAN NUNES;21.208
BARRA DO CEARA;72.423
BARROSO;29.847
BELA VISTA;16.754
BENFICA;12.954
BOA VISTA;12.247
BOM FUTURO;6.405
BOM JARDIM;37.758
BONSUCESSO;41.198
CAIS DO PORTO;22.382
CAJAZEIRAS;14.478
CAMBEBA;7.625
CANINDEZINHO;41.202
CARLITO PAMPLONA;29.076
CENTRO;28.538
CIDADE 2000;8.272
CIDADE DOS FUNCIONARIOS;18.256
COACU;7.188
COCO;20.492
CONJUNTO CEARA I;19.221
CONJUNTO CEARA II;23.673
CONJUNTO ESPERANCA;16.405
CONJUNTO PALMEIRAS;36.599
COUTO FERNANDES;5.260
CRISTO REDENTOR;26.717
CURIO;7.636
DAMAS;10.719
DE LOURDES;3.370
DEMOCRITO ROCHA;10.994
DENDE;5.637
DIAS MACEDO;12.111
DIONISIO TORRES;15.634
DOM LUSTOSA;13.147
EDSON QUEIROZ;22.210
FARIAS BRITO;12.063
FATIMA;23.309
FLORESTA;28.896
GENIBAU;40.336
GRANJA LISBOA;52.042
GRANJA PORTUGAL;39.651
GUAJERU;6.668
GUARARAPES;5.266
HENRIQUE JORGE;26.994
ITAOCA;12.477
ITAPERI;22.563
JACARECANGA;14.204
JANGURUSSU;50.479
JARDIM AMERICA;12.264
JARDIM CEARENSE;10.103
JARDIM DAS OLIVEIRAS;29.571
JARDIM GUANABARA;14.919
JARDIM IRACEMA;23.184
JOAO XXIII;18.398
JOAQUIM TAVORA;23.450
JOQUEI CLUBE;19.331
JOSE BONIFACIO;8.848
JOSE DE ALENCAR;16.003
LAGOA REDONDA;27.949
ENG LUCIANO CAVALCANTE;15.543
MANOEL SATIRO;37.952
MANUEL DIAS BRANCO;1.447
MARAPONGA;10.155
MEIRELES;36.982
MESSEJANA;41.689
MONDUBIM;76.044
MONTE CASTELO;13.215
MONTESE;25.970
MUCURIPE;13.747
NOVO MONDUBIM*;-
OLAVO OLIVEIRA*;-
PADRE ANDRADE;12.936
PANAMERICANO;8.815
PAPICU;18.370
PARANGABA;30.947
PARQUE ARAXA;6.715
PARQUE DOIS IRMAOS;27.236
PARQUE IRACEMA;8.409
PARQUE MANIBURA;7.529
PARQUE PRESIDENTE VARGAS;7.192
PARQUE SANTA MARIA*;-
PARQUE SANTA ROSA;12.790
PARQUE SAO JOSE;10.486
PARQUELANDIA;14.432
PARREAO;11.072
PASSARE;50.940
PAUPINA;14.665
PEDRAS;1.342
PICI;42.494
PIRAMBU;17.775
PLANALTO AYRTON SENNA;39.446
PRAIA DE IRACEMA;3.130
PRAIA DO FUTURO I;6.630
PRAIA DO FUTURO II;11.957
PREFEITO JOSE VALTER;33.427
PRESIDENTE KENNEDY;23.004
QUINTINO CUNHA;47.277
RODOLFO TEOFILO;19.114
SABIAGUABA;2.117
SALINAS;4.298
SAO BENTO;11.964
SAO GERARDO;14.505
SAO JOAO DO TAUAPE;27.598
SAPIRANGA COITE;32.158
SERRINHA;28.770
SIQUEIRA;33.628
VARJOTA;8.421
VILA ELLERY;7.863
VILA PERY;20.645
VILA UNIAO;15.378
VILA VELHA;61.617
VICENTE PINZON;45.518
